Symbol,Name,Current Price,% Change,Avg Stock Volume,Avg Option Volume,Date,Implied Move,Actual Move,Straddle Return,Avg Straddle Return,Max Return,Min Return,EtfHoldingsList,MarketCap
PATK,Patrick Industries,110.16,0.0447,127977,52.0,2/8/2024,0.0622,0.0192,-0.4251,-0.0053,0.2238,-0.1174,IWM,2469742080.0
MDU,Mdu Resources Group Common (Holding Company),20.36,0.0241,1031825,74.0,2/8/2024,0.0367,0.0112,-0.3876,-0.1025,0.0214,-0.2834,,4145782784.0
BWA,Borgwarner,31.8,0.0102,2392584,1384.0,2/8/2024,0.0681,-0.0695,0.2186,0.4654,1.0772,-0.1839,SPY - XLY,7434372096.0
PBH,Prestige Consumer Healthcare,68.67,-0.0019,213955,6.0,2/8/2024,0.0381,0.0936,0.4597,-0.0546,0.1742,-0.2434,IWM,3412390656.0
LIVE,Live Ventures,24.85,0.0311,4056,,2/8/2024,,-0.0329,,,,,,78633600.0
LVWR,Livewire Group,10.72,-0.0092,49758,228.0,2/8/2024,0.0621,0.0122,-0.2325,0.0843,0.2967,-0.0253,IWM,2169758976.0
TPX,Tempur Sealy Intl,50.6,-0.0247,1746263,2559.0,2/8/2024,0.0836,0.0123,-0.4339,-0.2315,-0.0503,-0.4262,XHB,8717079552.0
PODC,Podcastone,1.86,0.022,122900,,2/8/2024,,-0.0215,,,,,,42891304.0
LADR,Ladder Capital Class A,10.67,0.0,668046,98.0,2/8/2024,0.0306,0.0085,-0.304,0.0656,0.4173,-0.1473,IWM,1354540416.0
CIVB,Civista Bancshares,15.97,-0.0196,25866,2.0,2/8/2024,0.0726,0.0156,0.126,0.0813,0.3291,-0.0739,IWM,250665120.0
JRSH,Jerash Holdings (Us),3.19,0.0257,14262,,2/8/2024,,0.0163,,,,,,39220540.0
ARW,Arrow Electronics,111.31,-0.0184,618600,63.0,2/8/2024,0.0565,0.0406,-0.1583,0.4868,1.2066,0.091,,6487623168.0
BDC,Belden,83.23,-0.0119,313237,90.0,2/8/2024,0.0719,0.1306,0.6943,0.4229,1.5695,-0.2749,IWM,3520397824.0
GTES,Gates Industrial PLC,12.68,0.012,1690994,133.0,2/8/2024,0.0603,-0.0551,-0.1787,0.2343,0.5397,0.0478,,3348613120.0
HOG,Harley-Davidson,36.85,0.0556,1407651,1975.0,2/8/2024,0.0851,0.0107,-0.7715,-0.2512,0.5116,-0.731,,5132084736.0
LQDT,Liquidity Services,15.42,-0.0026,171942,17.0,2/8/2024,0.0869,-0.1027,0.2042,0.2506,0.6176,-0.2185,IWM,475614336.0
RXO,Rxo,20.28,-0.0227,626535,351.0,2/8/2024,0.0813,-0.077,-0.1566,0.0881,0.3703,-0.1693,IWM,2371196416.0
AXTA,Axalta Coating Systems Ltd. Common Shares,31.33,0.009,2036184,719.0,2/8/2024,0.054,-0.0461,0.2228,0.2258,0.6146,-0.0608,,6940040192.0
NNN,NNN REIT,39.7,-0.0043,1531885,155.0,2/8/2024,0.0242,-0.0028,-0.2974,-0.0882,0.2313,-0.2036,VNQ - IYR,7241732608.0
PWP,Perella Weinberg Partners - Class A,12.8,0.0248,244298,56.0,2/8/2024,0.0512,0.063,0.3354,0.221,0.4421,-0.0636,IWM,570907776.0
SLI,Standard Lithium Ltd. Common Shares,1.42,-0.0274,1348754,263.0,2/8/2024,0.116,-0.0395,-0.1511,-0.0571,0.0053,-0.1243,,247759600.0
SPH,Suburban Propane Partners,19.47,-0.0191,624719,319.0,2/8/2024,0.0425,0.0071,-0.4097,0.0111,0.3558,-0.2217,AMLP,1246371968.0
SPB,Spectrum Brands Holdings,85.86,-0.0028,575691,637.0,2/8/2024,0.0551,0.0767,0.5116,0.1107,1.3583,-0.335,,2647957504.0
ENS,Enersys,89.94,-0.0102,268121,94.0,2/7/2024,0.0649,-0.0726,0.1881,0.4659,1.0697,-0.4318,IWM,3633497600.0
BARK,Bark Class A,1.07,0.0288,921593,192.0,2/7/2024,0.1794,0.1556,-0.2657,0.0037,0.1104,-0.0567,IWM,191830576.0
EHC,Encompass Health,72.93,-0.0071,580606,59.0,2/7/2024,0.0422,0.0095,-0.4716,-0.1848,0.258,-0.544,,7278172672.0
OHI,Omega Healthcare Invts,30.94,0.0344,1930412,908.0,2/7/2024,0.0422,0.0648,0.5919,0.2521,0.9462,-0.2337,VNQ - IYR,7576355328.0
CMP,Compass Minerals Intl,20.7,-0.0259,450405,359.0,2/7/2024,0.1241,-0.0581,-0.3111,0.6064,1.0674,0.0441,XME - IWM,855143104.0
ALCO,Alico,29.01,0.0035,24332,,2/7/2024,,0.0259,,,,,IWM,220782080.0
PNNT,Pennant Park Investment,6.73,-0.0044,373394,31.0,2/7/2024,,-0.0117,,,,,,438960896.0
VINP,Vinci Partners Investments Ltd. - Class A Common Shares,10.91,0.0351,68889,9.0,2/7/2024,0.0663,0.0,0.086,0.1772,0.6829,-0.0975,,594582656.0
ASGN,Asgn,94.41,-0.0121,263672,28.0,2/7/2024,0.0593,0.0127,-0.4454,-0.1675,0.0865,-0.3664,IWM,4456152064.0
BLBD,Blue Bird,30.55,0.0073,416158,210.0,2/7/2024,0.132,-0.0294,-0.4813,0.5019,1.3484,-0.3724,IWM,983666880.0
FAF,First American Financial,59.02,0.0005,671667,95.0,2/7/2024,0.0563,-0.0084,-0.377,0.0389,0.4465,-0.3307,,6086927360.0
ENTA,Enanta Pharmaceuticals,12.34,-0.0016,268112,58.0,2/7/2024,0.0628,0.0082,0.0726,0.0734,0.4122,-0.113,IWM,261064800.0
