date,symbol,when,security_name,exchange_codes,before_eps_date,after_eps_date,Ticker,Date,Adj Close,Close,High,Low,Open,Volume,Adj Close_pct_change,Close_pct_change,High_pct_change,Low_pct_change,Open_pct_change,Volume_pct_change
2023-01-13,WEN,premarket,Wendy's Company (The) - Common Stock,,2023-01-12,2023-01-13,WEN,2023-01-13,23.079999923706055,23.079999923706055,23.219999313354492,21.40999984741211,21.40999984741211,5681000.0,0.05968775004941329,0.05968775004941329,0.04594587907032044,-0.015179389474716753,-0.03122174308359582,1.5434276504297992
2023-01-13,WFC,premarket,Wells Fargo & Company Common Stock,,2023-01-12,2023-01-13,WFC,2023-01-13,44.220001220703125,44.220001220703125,44.36000061035156,40.459999084472656,41.380001068115234,41649700.0,0.03245387182403969,0.03245387182403969,0.018599342996123758,-0.05467290173598138,-0.03879206036100591,0.9889639166396058
2023-01-13,WIT,premarket,Wipro Limited Common Stock,,2023-01-12,2023-01-13,WIT,2023-01-13,4.789999961853027,4.789999961853027,4.829999923706055,4.75,4.800000190734863,1971000.0,-0.010330617594738856,-0.010330617594738856,-0.008213544721353827,-0.008350722791562015,-0.0020789505537704978,-0.1856717897868121
2023-01-17,CFG,premarket,"Citizens Financial Group, Inc. Common Stock",,2023-01-13,2023-01-17,CFG,2023-01-17,40.81999969482422,40.81999969482422,41.61000061035156,40.470001220703125,41.4900016784668,6119300.0,-0.021572423287281484,-0.021572423287281484,-0.004068888796367132,-0.0054066702735510175,0.005087279684592438,0.5718725918314924
2023-01-17,EDU,premarket,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",,2023-01-13,2023-01-17,EDU,2023-01-17,37.529998779296875,37.529998779296875,41.939998626708984,37.0,39.040000915527344,5097700.0,-0.1198405413577961,-0.1198405413577961,-0.03319507620908446,-0.11057689045307784,-0.0844277327779478,1.1381176075832564
2023-01-17,FBK,premarket,FB Financial Corporation Common Stock,,2023-01-13,2023-01-17,FBK,2023-01-17,36.959999084472656,36.959999084472656,37.89500045776367,36.12200164794922,36.689998626708984,165800.0,-0.019108312496595836,-0.019108312496595836,0.00039597120447454337,-0.014406544500601526,-0.013444474817509433,1.1338481338481339
2023-01-17,FULT,premarket,Fulton Financial Corporation - Common Stock,,2023-01-13,2023-01-17,FULT,2023-01-17,16.600000381469727,16.600000381469727,16.81999969482422,16.479999542236328,16.739999771118164,1060400.0,-0.01425176775199033,-0.01425176775199033,-0.0029639088276092185,0.002433029615531268,-0.0011933447190057844,0.08837113825310472
2023-01-17,GNTY,premarket,"Guaranty Bancshares, Inc. Common Stock",,2023-01-13,2023-01-17,GNTY,2023-01-17,34.63999938964844,34.63999938964844,35.52000045776367,34.63999938964844,35.279998779296875,11900.0,-0.025323621347620673,-0.025323621347620673,-0.003646593619943128,-0.019530212443967243,-0.002826520231749896,0.3076923076923077
2023-01-17,HWC,postmarket,Hancock Whitney Corporation - Common Stock,,2023-01-17,2023-01-18,HWC,2023-01-18,47.52000045776367,47.52000045776367,50.09000015258789,46.349998474121094,49.33000183105469,1658600.0,-0.05695572468044818,-0.05695572468044818,-0.021106078854872146,-0.07300003051757809,-0.03274506213618256,1.2956401384083045
2023-01-17,IBKR,premarket,"Interactive Brokers Group, Inc. - Class A Common Stock",,2023-01-13,2023-01-17,IBKR,2023-01-17,77.19000244140625,77.19000244140625,78.43000030517578,76.06999969482422,77.69999694824219,1859100.0,-0.0002589903290185491,-0.0002589903290185491,0.015143646603611005,0.022308775043914375,0.04421439489604717,1.3709985971177145
2023-01-17,MBWM,premarket,Mercantile Bank Corporation - Common Stock,,2023-01-13,2023-01-17,MBWM,2023-01-17,36.59000015258789,36.59000015258789,37.0,35.68000030517578,37.0,81500.0,0.04304441968975237,0.04304441968975237,0.05473198599566853,0.05749847451688517,0.07840275485395476,1.7257525083612042
2023-01-17,MS,premarket,Morgan Stanley Common Stock,,2023-01-13,2023-01-17,MS,2023-01-17,97.08000183105469,97.08000183105469,99.0999984741211,95.0,95.9000015258789,27914300.0,0.059131550866235116,0.059131550866235116,0.07740807629195179,0.0762433852144282,0.07716503246970263,2.31736505597414
2023-01-17,PNFP,postmarket,"Pinnacle Financial Partners, Inc. - Common Stock",,2023-01-17,2023-01-18,PNFP,2023-01-18,69.08000183105469,69.08000183105469,75.13999938964844,69.05000305175781,72.0,1410000.0,-0.08757095936589054,-0.08757095936589054,-0.01764934647436478,-0.07476878476509119,-0.03846150319251662,0.8535559353227291
2023-01-17,UCBI,postmarket,"United Community Banks, Inc. - Common Stock",,2023-01-17,2023-01-18,UCBI,2023-01-18,32.02000045776367,32.02000045776367,35.220001220703125,31.649999618530273,35.220001220703125,1427200.0,-0.08094143749924043,-0.08094143749924043,0.0025619171605884006,-0.08499567855126644,0.003133027867824323,1.1545893719806761
2023-01-18,AA,postmarket,Alcoa Corporation Common Stock ,,2023-01-18,2023-01-19,AA,2023-01-19,49.52000045776367,49.52000045776367,53.14500045776367,49.52000045776367,51.13999938964844,12142700.0,-0.07352666509035333,-0.07352666509035333,-0.07748790314089915,-0.06794655632932078,-0.09486726743985063,0.3321083002391556
2023-01-18,DFS,postmarket,Discover Financial Services Common Stock,,2023-01-18,2023-01-19,DFS,2023-01-19,101.9000015258789,101.9000015258789,102.12000274658203,94.41999816894531,95.55000305175781,8727600.0,-0.004299343636470443,-0.004299343636470443,-0.03950335741438726,-0.07621564411803983,-0.09336745796448997,0.8370027362660493
2023-01-18,JBHT,premarket,"J.B. Hunt Transport Services, Inc. - Common Stock",,2023-01-17,2023-01-18,JBHT,2023-01-18,185.02000427246094,185.02000427246094,187.11000061035156,177.0,177.0,2156000.0,0.04952074036419418,0.04952074036419418,0.051120759419865935,0.009179546245249526,-0.00045178354544528343,0.7884695147241809
2023-01-18,KMI,postmarket,"Kinder Morgan, Inc. Common Stock",,2023-01-18,2023-01-19,KMI,2023-01-19,18.75,18.75,18.93000030517578,18.399999618530273,18.510000228881836,17379000.0,0.021241796115657685,0.021241796115657685,0.0005285533214329785,0.006014144204309346,-0.019077932927436314,-0.11005622638031154
2023-01-18,PFBC,postmarket,Preferred Bank - Common Stock,,2023-01-18,2023-01-19,PFBC,2023-01-19,68.93000030517578,68.93000030517578,72.12999725341797,68.86000061035156,72.0,106900.0,-0.020880698705137868,-0.020880698705137868,0.0033384040312578467,-0.020344292026604482,0.001530123957232954,0.24737456242707112
2023-01-18,PLD,premarket,"Prologis, Inc. Common Stock",,2023-01-17,2023-01-18,PLD,2023-01-18,122.6500015258789,122.6500015258789,125.33999633789062,121.38999938964844,122.48999786376953,4245300.0,0.010130154632535415,0.010130154632535415,0.01877588865734814,0.004052918590448762,0.0007352641892868217,0.3887144259077526
2023-01-18,PNC,premarket,"PNC Financial Services Group, Inc. (The) Common Stock",,2023-01-17,2023-01-18,PNC,2023-01-18,152.07000732421875,152.07000732421875,155.2100067138672,149.58999633789062,152.49000549316406,6677800.0,-0.06042631084636352,-0.06042631084636352,-0.050993556602082823,-0.07179205175793246,-0.0652240487413206,0.8507288952940524
2023-01-18,WTFC,postmarket,Wintrust Financial Corporation - Common Stock,,2023-01-18,2023-01-19,WTFC,2023-01-19,84.7699966430664,84.7699966430664,85.4000015258789,79.79000091552734,80.80999755859375,1012000.0,0.024410835565757072,0.024410835565757072,-0.007669022210528009,-0.033902355569892406,-0.06100395246264734,0.2748803224993701
2023-01-19,BANC,premarket,"Banc of California, Inc. Common Stock",,2023-01-18,2023-01-19,BANC,2023-01-19,16.809999465942383,16.809999465942383,17.420000076293945,16.450000762939453,17.420000076293945,528600.0,-0.008259663167872966,-0.008259663167872966,0.007518748055695967,-0.02489626884411178,0.01871343202839837,0.4865016872890888
2023-01-19,CMA,premarket,Comerica Incorporated Common Stock,,2023-01-18,2023-01-19,CMA,2023-01-19,69.83999633789062,69.83999633789062,71.22000122070312,67.16999816894531,67.30000305175781,3424900.0,0.05914458222760732,0.05914458222760732,0.05183875622050316,0.025026696477927768,-0.005173665428332641,0.9056866236367682
2023-01-19,CSTR,postmarket,"CapStar Financial Holdings, Inc. - Common Stock",,2023-01-19,2023-01-20,CSTR,2023-01-20,17.149999618530273,17.149999618530273,18.479999542236328,17.149999618530273,18.479999542236328,97000.0,-0.028878835407043946,-0.028878835407043946,0.041713629124332297,-0.02279200204667753,0.04761905791679455,0.6840277777777777
2023-01-19,FITB,premarket,Fifth Third Bancorp - Common Stock,,2023-01-18,2023-01-19,FITB,2023-01-19,33.63999938964844,33.63999938964844,33.959999084472656,31.84000015258789,32.36000061035156,10245300.0,0.028117302402886013,0.028117302402886013,0.004733723403066659,-0.02600178983876167,-0.042036655425091496,0.15961336034679863
2023-01-19,FPH,premarket,"Five Point Holdings, LLC Class A Common Shares",,2023-01-18,2023-01-19,FPH,2023-01-19,2.4100000858306885,2.4100000858306885,2.440000057220459,2.25,2.25,102200.0,0.06637172389398316,0.06637172389398316,-0.012145737264080192,0.022727250560256484,0.022727250560256484,-0.194006309148265
2023-01-19,IIIN,premarket,"Insteel Industries, Inc. Common Stock",,2023-01-18,2023-01-19,IIIN,2023-01-19,26.889999389648438,26.889999389648438,28.440000534057617,26.149999618530273,27.709999084472656,634100.0,-0.13341931051837896,-0.13341931051837896,-0.10255600963171918,-0.15454253603242385,-0.12059667143150721,4.518711923411662
2023-01-19,MCB,postmarket,Metropolitan Bank Holding Corp. Common Stock,,2023-01-19,2023-01-20,MCB,2023-01-20,57.13999938964844,57.13999938964844,60.5,56.560001373291016,60.20000076293945,89200.0,-0.03332771443683813,-0.03332771443683813,0.02092476735721105,-0.022468012847341123,0.02137770895127722,0.8583333333333334
2023-01-19,MTB,premarket,M&T Bank Corporation Common Stock,,2023-01-18,2023-01-19,MTB,2023-01-19,153.80999755859375,153.80999755859375,155.47999572753906,139.02999877929688,148.1699981689453,3522100.0,0.0549382327789969,0.0549382327789969,0.040347935111602506,-0.045320372740676684,-0.005703973152232034,1.7849292322289871
2023-01-19,NTRS,premarket,Northern Trust Corporation - Common Stock,,2023-01-18,2023-01-19,NTRS,2023-01-19,90.45999908447266,90.45999908447266,95.30999755859375,88.5,95.25,3491100.0,-0.0859856727419166,-0.0859856727419166,-0.04927683233322944,-0.10352513264110286,-0.04126822885849435,1.1328812316715542
2023-01-19,OCFC,postmarket,OceanFirst Financial Corp. - Common Stock,,2023-01-19,2023-01-20,OCFC,2023-01-20,22.420000076293945,22.420000076293945,22.770000457763672,21.459999084472656,22.75,718500.0,0.07840303458328424,0.07840303458328424,0.08687349062267335,0.043774301649235126,0.08591881486919783,2.6051179126944306
2023-01-19,OZK,postmarket,Bank OZK - Common Stock,,2023-01-19,2023-01-20,OZK,2023-01-20,43.130001068115234,43.130001068115234,43.27000045776367,40.91999816894531,41.599998474121094,2281600.0,0.07422165452012641,0.07422165452012641,0.07529817725922916,0.036736683643212587,0.04312932196436248,0.843121415300105
2023-01-19,SNV,premarket,Synovus Financial Corp. Common Stock,,2023-01-18,2023-01-19,SNV,2023-01-19,37.709999084472656,37.709999084472656,38.56999969482422,36.5,36.5099983215332,2147100.0,0.01863853641752944,0.01863853641752944,-0.005415139017094672,-0.0108401493045569,-0.05707651935682945,0.025358166189111797
2023-01-19,TFC,premarket,Truist Financial Corporation Common Stock,,2023-01-18,2023-01-19,TFC,2023-01-19,47.709999084472656,47.709999084472656,48.029998779296875,45.77000045776367,46.11000061035156,9714100.0,0.043069465100900484,0.043069465100900484,0.021263024153855836,0.0035079992385660397,-0.013056519572205216,0.24645212615803125
2023-01-19,WNS,premarket,WNS (Holdings) Limited Sponsored ADR (Jersey),,2023-01-18,2023-01-19,WNS,2023-01-19,83.37000274658203,83.37000274658203,84.51000213623047,82.19000244140625,83.51000213623047,123900.0,-0.00047956976107310645,-0.00047956976107310645,-0.009609746598244984,-0.014626557572701926,-0.0040548162680713595,-0.17674418604651165
2023-01-20,ALLY,premarket,Ally Financial Inc. Common Stock,,2023-01-19,2023-01-20,ALLY,2023-01-20,31.43000030517578,31.43000030517578,31.610000610351562,28.799999237060547,28.809999465942383,33633300.0,0.2000763522056459,0.2000763522056459,0.19531105975161833,0.14149820688057702,0.10298616157272433,1.7054683226616043
2023-01-20,HBAN,premarket,Huntington Bancshares Incorporated - Common Stock,,2023-01-19,2023-01-20,HBAN,2023-01-20,14.109999656677246,14.109999656677246,14.449999809265137,13.75,14.170000076293945,24914200.0,0.006419343507491515,0.006419343507491515,0.02264682889118852,-0.002177048878993171,0.015770628676474274,0.024748586118251925
2023-01-20,INDB,premarket,Independent Bank Corp. - Common Stock,,2023-01-19,2023-01-20,INDB,2023-01-20,76.91000366210938,76.91000366210938,81.47000122070312,75.01000213623047,81.47000122070312,555800.0,-0.029404268860101612,-0.029404268860101612,0.011421454178644375,-0.04688684822235101,0.030874382881117324,1.0894736842105264
2023-01-20,RF,premarket,Regions Financial Corporation Common Stock,,2023-01-19,2023-01-20,RF,2023-01-20,22.690000534057617,22.690000534057617,23.219999313354492,21.739999771118164,22.760000228881836,14212500.0,0.04610419434659763,0.04610419434659763,0.06758617532664335,0.029843635364826815,0.059590349810233034,0.12609935821250295
2023-01-20,SLB,premarket,Schlumberger N.V. Common Stock,,2023-01-19,2023-01-20,SLB,2023-01-20,57.349998474121094,57.349998474121094,58.9900016784668,56.220001220703125,57.4900016784668,19204800.0,-0.0005228754519980283,-0.0005228754519980283,0.018122248475059166,0.0001779422948475773,0.02131818695011667,0.2565543683793845
2023-01-20,STT,premarket,State Street Corporation Common Stock,,2023-01-19,2023-01-20,STT,2023-01-20,84.27999877929688,84.27999877929688,85.0,82.05999755859375,83.3499984741211,4790100.0,0.04669650140322301,0.04669650140322301,0.04538190323701774,0.036896616015481776,0.04213547106453519,0.4262192580241768
2023-01-23,BMRC,premarket,Bank of Marin Bancorp - Common Stock,,2023-01-20,2023-01-23,BMRC,2023-01-23,30.989999771118164,30.989999771118164,31.75,30.81999969482422,31.75,101400.0,-0.019303816550244934,-0.019303816550244934,-0.00812240972091216,-0.005485643031607257,-0.004390071882343194,2.7142857142857144
2023-01-23,BOH,premarket,Bank of Hawaii Corporation Common Stock,,2023-01-20,2023-01-23,BOH,2023-01-23,75.08000183105469,75.08000183105469,79.44000244140625,74.95999908447266,78.0,595100.0,-0.04381042994244044,-0.04381042994244044,0.011716834407443644,-0.023958384038671454,0.015624959642690062,3.182009838369642
2023-01-23,BRO,postmarket,"Brown & Brown, Inc. Common Stock",,2023-01-23,2023-01-24,BRO,2023-01-24,58.709999084472656,58.709999084472656,61.77000045776367,57.5099983215332,61.77000045776367,2645000.0,-0.0524531963851248,-0.0524531963851248,-0.007232413277255323,-0.059218103767876173,-0.0012934198598386626,0.6644641621043359
2023-01-23,CR,postmarket,Crane Company Common Stock,,2023-01-23,2023-01-24,CR,2023-01-24,,,,,,,,,,,,
2023-01-23,EFSC,premarket,Enterprise Financial Services Corporation - Common Stock,,2023-01-20,2023-01-23,EFSC,2023-01-23,48.959999084472656,48.959999084472656,49.290000915527344,48.06999969482422,48.33000183105469,91100.0,0.00554529606446863,0.00554529606446863,-0.007850229212011617,0.002920913598102315,-0.003915882623999112,-0.2599512591389115
2023-01-23,GSBC,postmarket,"Great Southern Bancorp, Inc. - Common Stock",,2023-01-23,2023-01-24,GSBC,2023-01-24,58.04999923706055,58.04999923706055,58.81999969482422,56.540000915527344,58.54999923706055,30400.0,-0.0075226949697325685,-0.0075226949697325685,-0.00033991260557109104,-0.03251193969592736,-0.001705068818697919,1.1870503597122304
2023-01-23,HOPE,postmarket,"Hope Bancorp, Inc. - Common Stock",,2023-01-23,2023-01-24,HOPE,2023-01-24,12.420000076293945,12.420000076293945,12.779999732971191,12.15999984741211,12.670000076293945,763000.0,-0.04827587013279899,-0.04827587013279899,-0.027397306008024702,-0.05736432503883082,-0.024634311044077428,-0.007544224765868912
2023-01-23,IBTX,premarket,"Independent Bank Group, Inc - Common Stock",,2023-01-20,2023-01-23,IBTX,2023-01-23,61.33000183105469,61.33000183105469,61.630001068115234,60.630001068115234,60.630001068115234,118200.0,0.009547355243698652,0.009547355243698652,0.0,0.023291157267767648,0.01168030634698658,-0.4504881450488145
2023-01-23,LOGI,premarket,Logitech International S.A. - Registered Shares,,2023-01-20,2023-01-23,LOGI,2023-01-23,57.540000915527344,57.540000915527344,57.56999969482422,55.599998474121094,55.61000061035156,1336400.0,0.03044413965426296,0.03044413965426296,0.0280357088361467,0.02149546504474409,0.012932587700165588,0.19236259814418277
2023-01-23,RBB,postmarket,RBB Bancorp - Common Stock,,2023-01-23,2023-01-24,RBB,2023-01-24,20.219999313354492,20.219999313354492,20.850000381469727,20.010000228881836,20.309999465942383,23800.0,-0.02835176202447698,-0.02835176202447698,0.001922196855065339,-0.025328808590928342,-0.012639777964958188,-0.3567567567567568
2023-01-23,SMBK,premarket,"SmartFinancial, Inc. Common Stock",,2023-01-20,2023-01-23,SMBK,2023-01-23,27.1200008392334,27.1200008392334,27.420000076293945,26.90999984741211,27.420000076293945,14300.0,-0.0033075431189785176,-0.0033075431189785176,0.0018267897525554577,-0.0014842639849699246,0.015931838044545676,-0.45627376425855515
2023-01-23,SYF,premarket,Synchrony Financial Common Stock,,2023-01-20,2023-01-23,SYF,2023-01-23,34.560001373291016,34.560001373291016,36.08000183105469,34.0099983215332,35.22999954223633,9548100.0,-0.02400447550928797,-0.02400447550928797,0.018633644726950838,0.03499688648269128,0.07212412927156686,-0.2105158713752987
2023-01-23,TRST,postmarket,TrustCo Bank Corp NY - Common Stock,,2023-01-23,2023-01-24,TRST,2023-01-24,37.349998474121094,37.349998474121094,37.4900016784668,36.77000045776367,37.06999969482422,63300.0,0.015221460849635493,0.015221460849635493,0.002138514605212416,0.0,-0.005633022836612267,-0.17038007863695936
2023-01-23,ZION,premarket,Zions Bancorporation N.A. - Common Stock,,2023-01-20,2023-01-23,ZION,2023-01-23,52.650001525878906,52.650001525878906,53.2400016784668,51.27000045776367,51.599998474121094,2942500.0,0.02272731146166107,0.02272731146166107,0.030584627094880634,0.035339256539236086,0.0351053170223965,0.19911161824035206
2023-01-24,AUB,premarket,Atlantic Union Bankshares Corporation Common Stock,,2023-01-23,2023-01-24,AUB,2023-01-24,37.970001220703125,37.970001220703125,38.47999954223633,36.95000076293945,36.95000076293945,519500.0,0.038850944275882204,0.038850944275882204,0.043383905308624904,0.024965368791288967,0.020718231607548265,1.6847545219638245
2023-01-24,CBU,premarket,"Community Bank System, Inc. Common Stock",,2023-01-23,2023-01-24,CBU,2023-01-24,60.04999923706055,60.04999923706055,61.97999954223633,59.959999084472656,61.0,155600.0,-0.013471327570447666,-0.013471327570447666,0.006332186859591138,-0.00892563496739407,0.0021357166156796836,0.011046133853151341
2023-01-24,CFB,premarket,"CrossFirst Bankshares, Inc. - Common Stock",,2023-01-23,2023-01-24,CFB,2023-01-24,12.960000038146973,12.960000038146973,13.020000457763672,12.100000381469727,12.399999618530273,139500.0,0.06578949019519276,0.06578949019519276,0.05810647174768002,0.0020704407949891923,0.010594878232816018,1.012987012987013
2023-01-24,COF,premarket,Capital One Financial Corporation Common Stock,,2023-01-23,2023-01-24,COF,2023-01-24,106.51000213623047,106.51000213623047,108.88999938964844,105.76000213623047,105.76000213623047,3621400.0,-0.005694553722096707,-0.005694553722096707,0.014345607241891045,0.018882456906049727,0.014095322732749826,0.015137074620171553
2023-01-24,COLB,premarket,"Columbia Banking System, Inc. - Common Stock",,2023-01-23,2023-01-24,COLB,2023-01-24,29.350000381469727,29.350000381469727,29.450000762939453,27.68000030517578,28.940000534057617,1146600.0,0.025506621971709276,0.025506621971709276,0.023991673455019402,-0.022943862346655575,0.014015403142914717,-0.23217036094555688
2023-01-24,DHI,premarket,"D.R. Horton, Inc. Common Stock",,2023-01-23,2023-01-24,DHI,2023-01-24,97.0,97.0,98.93000030517578,95.55000305175781,97.0999984741211,4047100.0,0.013795983388524391,0.013795983388524391,0.03041347884569423,0.019200032552083357,0.03496054988239172,0.2875322113702161
2023-01-24,DHR,premarket,Danaher Corporation Common Stock,,2023-01-23,2023-01-24,DHR,2023-01-24,240.7624053955078,240.7624053955078,242.02127075195312,233.5283660888672,242.02127075195312,5876993.0,-0.0195668388935063,-0.0195668388935063,-0.022626407926797487,-0.032895241952886844,-0.0034678283603709614,1.467253540934963
