date,symbol,when,security_name,exchange_codes,before_eps_date,after_eps_date
2023-01-23,BMRC,premarket,Bank of Marin Bancorp - Common Stock,,2023-01-20,2023-01-23
2023-01-23,BOH,premarket,Bank of Hawaii Corporation Common Stock,,2023-01-20,2023-01-23
2023-01-23,BRO,postmarket,"Brown & Brown, Inc. Common Stock",,2023-01-23,2023-01-24
2023-01-23,CR,postmarket,Crane Company Common Stock,,2023-01-23,2023-01-24
2023-01-23,EFSC,premarket,Enterprise Financial Services Corporation - Common Stock,,2023-01-20,2023-01-23
2023-01-23,GSBC,postmarket,"Great Southern Bancorp, Inc. - Common Stock",,2023-01-23,2023-01-24
2023-01-23,HOPE,postmarket,"Hope Bancorp, Inc. - Common Stock",,2023-01-23,2023-01-24
2023-01-23,IBTX,premarket,"Independent Bank Group, Inc - Common Stock",,2023-01-20,2023-01-23
2023-01-23,LOGI,premarket,Logitech International S.A. - Registered Shares,,2023-01-20,2023-01-23
2023-01-23,RBB,postmarket,RBB Bancorp - Common Stock,,2023-01-23,2023-01-24
2023-01-23,SMBK,premarket,"SmartFinancial, Inc. Common Stock",,2023-01-20,2023-01-23
2023-01-23,SYF,premarket,Synchrony Financial Common Stock,,2023-01-20,2023-01-23
2023-01-23,TRST,postmarket,TrustCo Bank Corp NY - Common Stock,,2023-01-23,2023-01-24
2023-01-23,ZION,premarket,Zions Bancorporation N.A. - Common Stock,,2023-01-20,2023-01-23
2023-01-24,AUB,premarket,Atlantic Union Bankshares Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,CBU,premarket,"Community Bank System, Inc. Common Stock",,2023-01-23,2023-01-24
2023-01-24,CFB,premarket,"CrossFirst Bankshares, Inc. - Common Stock",,2023-01-23,2023-01-24
2023-01-24,COF,premarket,Capital One Financial Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,COLB,premarket,"Columbia Banking System, Inc. - Common Stock",,2023-01-23,2023-01-24
2023-01-24,DHI,premarket,"D.R. Horton, Inc. Common Stock",,2023-01-23,2023-01-24
2023-01-24,DHR,premarket,Danaher Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,FCF,postmarket,First Commonwealth Financial Corporation Common Stock,,2023-01-24,2023-01-25
2023-01-24,FFIV,premarket,"F5, Inc. - Common Stock",,2023-01-23,2023-01-24
2023-01-24,FOR,premarket,Forestar Group Inc Common Stock ,,2023-01-23,2023-01-24
2023-01-24,GATX,premarket,GATX Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,HAFC,premarket,Hanmi Financial Corporation - Common Stock,,2023-01-23,2023-01-24
2023-01-24,HAL,premarket,Halliburton Company Common Stock,,2023-01-23,2023-01-24
2023-01-24,IVZ,premarket,Invesco Ltd Common Stock,,2023-01-23,2023-01-24
2023-01-24,LMT,premarket,Lockheed Martin Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,LRN,premarket,"Stride, Inc. Common Stock",,2023-01-23,2023-01-24
2023-01-24,MMM,premarket,3M Company Common Stock,,2023-01-23,2023-01-24
2023-01-24,NBHC,postmarket,National Bank Holdings Corporation Common Stock,,2023-01-24,2023-01-25
2023-01-24,ONB,premarket,Old National Bancorp - Common Stock,,2023-01-23,2023-01-24
2023-01-24,PEBO,premarket,Peoples Bancorp Inc. - Common Stock,,2023-01-23,2023-01-24
2023-01-24,PFC,postmarket,Premier Financial Corp.  - Common Stock,,2023-01-24,2023-01-25
2023-01-24,RNST,premarket,Renasant Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,RTX,premarket,RTX Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,SLGN,postmarket,Silgan Holdings Inc. Common Stock,,2023-01-24,2023-01-25
2023-01-24,TARO,postmarket,Taro Pharmaceutical Industries Ltd. Ordinary Shares,,2023-01-24,2023-01-25
